"point","year","sm3_u1","night","species","ccounts","forest","y_coord","x_coord","mic_ht"
"213_2",2015,0,20150605,"tabr",0,"plumas/lassen",40.14,121.07,2.7
"213_2",2015,0,20150607,"eupe",0,"plumas/lassen",40.14,121.07,2.7
"213_2",2015,0,20150607,"myth",0,"plumas/lassen",40.14,121.07,2.7
"213_2",2015,0,20150609,"mylu",2,"plumas/lassen",40.14,121.07,2.7
"213_2",2015,0,20150611,"eupe",0,"plumas/lassen",40.14,121.07,2.7
"213_2",2015,0,20150611,"epfu",1,"plumas/lassen",40.14,121.07,2.7
"213_2",2015,0,20150605,"anpa",0,"plumas/lassen",40.14,121.07,2.7
"213_2",2015,0,20150609,"tabr",2,"plumas/lassen",40.14,121.07,2.7
"213_2",2015,0,20150603,"mylu",0,"plumas/lassen",40.14,121.07,2.7
"213_2",2015,0,20150607,"myvo",0,"plumas/lassen",40.14,121.07,2.7
"213_2",2015,0,20150611,"mylu",11,"plumas/lassen",40.14,121.07,2.7
"213_2",2015,0,20150605,"labl",0,"plumas/lassen",40.14,121.07,2.7
"213_2",2015,0,20150607,"epfu",0,"plumas/lassen",40.14,121.07,2.7
"213_2",2015,0,20150607,"mylu",11,"plumas/lassen",40.14,121.07,2.7
"213_2",2015,0,20150603,"tabr",0,"plumas/lassen",40.14,121.07,2.7
"213_2",2015,0,20150605,"epfu",0,"plumas/lassen",40.14,121.07,2.7
"213_2",2015,0,20150607,"coto",0,"plumas/lassen",40.14,121.07,2.7
"213_2",2015,0,20150611,"myth",0,"plumas/lassen",40.14,121.07,2.7
"213_2",2015,0,20150605,"eupe",0,"plumas/lassen",40.14,121.07,2.7
"213_2",2015,0,20150607,"anpa",0,"plumas/lassen",40.14,121.07,2.7
"213_2",2015,0,20150605,"pahe",0,"plumas/lassen",40.14,121.07,2.7
"213_2",2015,0,20150603,"epfu",0,"plumas/lassen",40.14,121.07,2.7
"213_2",2015,0,20150609,"pahe",0,"plumas/lassen",40.14,121.07,2.7
"213_2",2015,0,20150607,"euma",0,"plumas/lassen",40.14,121.07,2.7
"213_2",2015,0,20150611,"myev",0,"plumas/lassen",40.14,121.07,2.7
"213_2",2015,0,20150603,"pahe",0,"plumas/lassen",40.14,121.07,2.7
"213_2",2015,0,20150605,"euma",0,"plumas/lassen",40.14,121.07,2.7
"213_2",2015,0,20150603,"euma",0,"plumas/lassen",40.14,121.07,2.7
"213_2",2015,0,20150603,"myvo",0,"plumas/lassen",40.14,121.07,2.7
"213_2",2015,0,20150611,"lano",11,"plumas/lassen",40.14,121.07,2.7
"213_2",2015,0,20150611,"myci",0,"plumas/lassen",40.14,121.07,2.7
"213_2",2015,0,20150611,"myca",1,"plumas/lassen",40.14,121.07,2.7
"213_2",2015,0,20150603,"myth",0,"plumas/lassen",40.14,121.07,2.7
"213_2",2015,0,20150603,"coto",0,"plumas/lassen",40.14,121.07,2.7
"213_2",2015,0,20150603,"myyu",0,"plumas/lassen",40.14,121.07,2.7
"213_2",2015,0,20150605,"myyu",0,"plumas/lassen",40.14,121.07,2.7
"213_2",2016,0,20160607,"labl",0,"plumas/lassen",40.14,121.07,2.3
"213_2",2016,0,20160607,"epfu",0,"plumas/lassen",40.14,121.07,2.3
"213_2",2016,0,20160607,"eupe",0,"plumas/lassen",40.14,121.07,2.3
"213_2",2016,0,20160607,"myev",0,"plumas/lassen",40.14,121.07,2.3
"213_2",2016,0,20160611,"myyu",0,"plumas/lassen",40.14,121.07,2.3
"213_2",2016,0,20160607,"lano",17,"plumas/lassen",40.14,121.07,2.3
"213_2",2016,0,20160607,"mylu",0,"plumas/lassen",40.14,121.07,2.3
"213_2",2016,0,20160611,"myvo",0,"plumas/lassen",40.14,121.07,2.3
"213_2",2016,0,20160607,"myca",1,"plumas/lassen",40.14,121.07,2.3
"213_2",2016,0,20160613,"myvo",0,"plumas/lassen",40.14,121.07,2.3
"213_2",2016,0,20160609,"coto",0,"plumas/lassen",40.14,121.07,2.3
"213_2",2016,0,20160607,"anpa",0,"plumas/lassen",40.14,121.07,2.3
"213_2",2016,0,20160607,"myci",0,"plumas/lassen",40.14,121.07,2.3
"213_2",2016,0,20160611,"myth",0,"plumas/lassen",40.14,121.07,2.3
"213_2",2016,0,20160607,"euma",0,"plumas/lassen",40.14,121.07,2.3
"213_2",2016,0,20160615,"myev",0,"plumas/lassen",40.14,121.07,2.3
"213_2",2016,0,20160615,"mylu",0,"plumas/lassen",40.14,121.07,2.3
"213_2",2016,0,20160607,"coto",0,"plumas/lassen",40.14,121.07,2.3
"213_2",2016,0,20160607,"laci",0,"plumas/lassen",40.14,121.07,2.3
"213_2",2016,0,20160615,"myci",0,"plumas/lassen",40.14,121.07,2.3
"213_2",2016,0,20160615,"laci",0,"plumas/lassen",40.14,121.07,2.3
"213_2",2016,0,20160607,"myyu",0,"plumas/lassen",40.14,121.07,2.3
"213_2",2016,0,20160609,"pahe",0,"plumas/lassen",40.14,121.07,2.3
"213_2",2016,0,20160611,"pahe",0,"plumas/lassen",40.14,121.07,2.3
"213_2",2016,0,20160609,"anpa",0,"plumas/lassen",40.14,121.07,2.3
"213_2",2016,0,20160615,"labl",0,"plumas/lassen",40.14,121.07,2.3
"213_2",2016,0,20160615,"myca",0,"plumas/lassen",40.14,121.07,2.3
"213_2",2016,0,20160615,"eupe",0,"plumas/lassen",40.14,121.07,2.3
"213_2",2016,0,20160609,"myth",0,"plumas/lassen",40.14,121.07,2.3
"213_2",2016,0,20160615,"pahe",0,"plumas/lassen",40.14,121.07,2.3
"213_2",2016,0,20160613,"myth",0,"plumas/lassen",40.14,121.07,2.3
"213_2",2016,0,20160613,"myci",0,"plumas/lassen",40.14,121.07,2.3
"213_2",2016,0,20160613,"myev",1,"plumas/lassen",40.14,121.07,2.3
"213_2",2016,0,20160607,"pahe",0,"plumas/lassen",40.14,121.07,2.3
"213_2",2016,0,20160607,"myvo",0,"plumas/lassen",40.14,121.07,2.3
"213_2",2016,0,20160615,"lano",0,"plumas/lassen",40.14,121.07,2.3
"213_2",2016,0,20160615,"euma",0,"plumas/lassen",40.14,121.07,2.3
"213_2",2016,0,20160613,"lano",1,"plumas/lassen",40.14,121.07,2.3
"213_2",2016,0,20160607,"tabr",4,"plumas/lassen",40.14,121.07,2.3
"213_2",2016,0,20160609,"myyu",0,"plumas/lassen",40.14,121.07,2.3
"213_2",2016,0,20160613,"laci",0,"plumas/lassen",40.14,121.07,2.3
"213_2",2016,0,20160611,"mylu",5,"plumas/lassen",40.14,121.07,2.3
"213_2",2016,0,20160611,"tabr",0,"plumas/lassen",40.14,121.07,2.3
"213_2",2016,0,20160615,"anpa",0,"plumas/lassen",40.14,121.07,2.3
"213_2",2016,0,20160611,"myev",2,"plumas/lassen",40.14,121.07,2.3
"213_2",2016,0,20160609,"lano",3,"plumas/lassen",40.14,121.07,2.3
"213_2",2016,0,20160609,"myci",0,"plumas/lassen",40.14,121.07,2.3
"213_2",2016,0,20160609,"myev",0,"plumas/lassen",40.14,121.07,2.3
"213_2",2016,0,20160615,"epfu",0,"plumas/lassen",40.14,121.07,2.3
"213_2",2016,0,20160609,"mylu",1,"plumas/lassen",40.14,121.07,2.3
"213_2",2016,0,20160615,"tabr",0,"plumas/lassen",40.14,121.07,2.3
"213_2",2016,0,20160613,"myca",0,"plumas/lassen",40.14,121.07,2.3
"213_2",2016,0,20160613,"mylu",1,"plumas/lassen",40.14,121.07,2.3
"213_2",2016,0,20160611,"lano",2,"plumas/lassen",40.14,121.07,2.3
"213_2",2016,0,20160613,"coto",0,"plumas/lassen",40.14,121.07,2.3
"213_2",2016,0,20160613,"tabr",0,"plumas/lassen",40.14,121.07,2.3
"213_2",2016,0,20160611,"myca",1,"plumas/lassen",40.14,121.07,2.3
"213_2",2016,0,20160613,"epfu",0,"plumas/lassen",40.14,121.07,2.3
"213_2",2016,0,20160607,"myth",0,"plumas/lassen",40.14,121.07,2.3
"213_2",2016,0,20160613,"euma",0,"plumas/lassen",40.14,121.07,2.3
"213_2",2016,0,20160613,"eupe",0,"plumas/lassen",40.14,121.07,2.3
"213_2",2016,0,20160609,"myvo",0,"plumas/lassen",40.14,121.07,2.3
"213_2",2016,0,20160613,"anpa",0,"plumas/lassen",40.14,121.07,2.3
"213_2",2016,0,20160611,"laci",0,"plumas/lassen",40.14,121.07,2.3
"213_2",2016,0,20160615,"myyu",0,"plumas/lassen",40.14,121.07,2.3
"213_2",2016,0,20160609,"euma",0,"plumas/lassen",40.14,121.07,2.3
"213_2",2016,0,20160613,"labl",0,"plumas/lassen",40.14,121.07,2.3
"213_2",2016,0,20160615,"coto",0,"plumas/lassen",40.14,121.07,2.3
"213_2",2016,0,20160611,"anpa",0,"plumas/lassen",40.14,121.07,2.3
"213_2",2016,0,20160609,"labl",0,"plumas/lassen",40.14,121.07,2.3
"213_2",2016,0,20160609,"epfu",0,"plumas/lassen",40.14,121.07,2.3
"213_2",2016,0,20160613,"myyu",0,"plumas/lassen",40.14,121.07,2.3
"213_2",2016,0,20160613,"pahe",0,"plumas/lassen",40.14,121.07,2.3
"213_2",2016,0,20160609,"myca",0,"plumas/lassen",40.14,121.07,2.3
"213_2",2016,0,20160611,"euma",0,"plumas/lassen",40.14,121.07,2.3
"213_2",2016,0,20160609,"laci",1,"plumas/lassen",40.14,121.07,2.3
"213_2",2016,0,20160611,"myci",0,"plumas/lassen",40.14,121.07,2.3
"213_2",2016,0,20160609,"eupe",0,"plumas/lassen",40.14,121.07,2.3
"213_2",2016,0,20160609,"tabr",0,"plumas/lassen",40.14,121.07,2.3
"213_2",2016,0,20160615,"myvo",0,"plumas/lassen",40.14,121.07,2.3
