"first_name","last_name","y_coord","x_coord","det_mfg","det_model","mic_type","refl_type","mic_ht","mic_ht_units","night","call_id_1","call_id_2","site_ID","det_id","LANO","MYTH","MYEV","LABL","ANPA","MYCI","EUMA","MYLU","MYCA","LACI","EUPE","MYYU","TABR","MYVO","EPFU","COTO","PAHE"
"Zack","Steel",40.14,-121.07,"SonoBat","SM3BAT","SMM-U1","None",2.7,"meters","06/09/2015","Sonobat 3","None","plumas/lassen","213_2",8,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,0
"Zack","Steel",40.14,-121.07,"SonoBat","SM3BAT","SMM-U1","None",2.7,"meters","06/01/2015","Sonobat 3","None","plumas/lassen","213_2",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"Zack","Steel",40.14,-121.07,"SonoBat","SM3BAT","SMM-U1","None",2.7,"meters","06/03/2015","Sonobat 3","None","plumas/lassen","213_2",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"Zack","Steel",40.14,-121.07,"SonoBat","SM3BAT","SMM-U1","None",2.7,"meters","06/07/2015","Sonobat 3","None","plumas/lassen","213_2",6,0,1,0,0,0,0,11,1,0,0,0,1,0,0,0,0
"Zack","Steel",40.14,-121.07,"SonoBat","SM3BAT","SMM-U1","None",2.7,"meters","06/11/2015","Sonobat 3","None","plumas/lassen","213_2",11,0,0,1,0,0,0,11,1,0,0,0,11,0,1,0,0
"Zack","Steel",40.14,-121.07,"SonoBat","SM3BAT","SMM-U1","None",2.7,"meters","06/05/2015","Sonobat 3","None","plumas/lassen","213_2",2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Zack","Steel",40.1,-121.16,"SonoBat","SM3BAT","SMM-U1","None",2.7,"meters","08/06/2015","Sonobat 3","None","plumas/lassen","CAR1_3",20,0,5,12,0,0,0,6,0,0,0,1,261,0,21,0,0
"Zack","Steel",40.1,-121.16,"SonoBat","SM3BAT","SMM-U1","None",2.7,"meters","07/29/2015","Sonobat 3","None","plumas/lassen","CAR1_3",8,0,3,5,0,2,0,22,10,0,0,0,67,0,64,0,0
"Zack","Steel",40.1,-121.16,"SonoBat","SM3BAT","SMM-U1","None",2.7,"meters","08/04/2015","Sonobat 3","None","plumas/lassen","CAR1_3",7,1,0,0,0,0,0,2,4,0,0,0,439,0,0,0,0
"Zack","Steel",40.1,-121.16,"SonoBat","SM3BAT","SMM-U1","None",2.7,"meters","08/02/2015","Sonobat 3","None","plumas/lassen","CAR1_3",12,0,2,0,0,0,0,13,7,19,0,0,268,0,8,0,0
"Zack","Steel",40.1,-121.16,"SonoBat","SM3BAT","SMM-U1","None",2.7,"meters","07/31/2015","Sonobat 3","None","plumas/lassen","CAR1_3",7,0,2,0,0,0,0,4,3,0,0,0,25,0,25,0,0
"Zack","Steel",40.1,-121.35,"SonoBat","SM3BAT","SMM-U1","None",2.6,"meters","07/03/2015","Sonobat 3","None","plumas/lassen","CH0102",59,0,2,1,0,0,0,6,6,0,0,0,154,0,0,0,0
"Zack","Steel",40.1,-121.35,"SonoBat","SM3BAT","SMM-U1","None",2.6,"meters","06/25/2015","Sonobat 3","None","plumas/lassen","CH0102",45,0,0,1,0,0,0,18,4,0,0,0,67,0,2,0,0
"Zack","Steel",40.1,-121.35,"SonoBat","SM3BAT","SMM-U1","None",2.6,"meters","06/29/2015","Sonobat 3","None","plumas/lassen","CH0102",43,0,1,0,0,0,0,18,3,0,0,0,76,0,7,0,0
"Zack","Steel",40.1,-121.35,"SonoBat","SM3BAT","SMM-U1","None",2.6,"meters","07/01/2015","Sonobat 3","None","plumas/lassen","CH0102",60,0,2,0,0,0,0,16,8,0,0,0,148,1,8,0,0
"Zack","Steel",40.1,-121.35,"SonoBat","SM3BAT","SMM-U1","None",2.6,"meters","06/27/2015","Sonobat 3","None","plumas/lassen","CH0102",33,0,1,0,0,0,0,6,3,0,0,1,89,0,14,0,0
"Zack","Steel",40.13,-121.24,"SonoBat","SM3BAT","SMM-U1","None",2.5,"meters","05/13/2015","Sonobat 3","None","plumas/lassen","CH0605",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
