"first_name","last_name","y_coord","x_coord","det_mfg","det_model","mic_type","refl_type","mic_ht","mic_ht_units","night","call_id_1","call_id_2","site_ID","det_id","LANO","MYTH","MYEV","LABL","ANPA","MYCI","EUMA","MYLU","MYCA","LACI","EUPE","MYYU","TABR","MYVO","EPFU","COTO","PAHE"
"Zack","Steel",38.54,120.31,"SonoBat","SM3BAT","SM3-U1","None",2.5,"meters",20140822,"Sonobat 3",NA,"eldorado","EL24B.W",0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Zack","Steel",38.54,120.31,"SonoBat","SM3BAT","SM3-U1","None",2.5,"meters",20140818,"Sonobat 3",NA,"eldorado","EL24B.W",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"Zack","Steel",38.54,120.31,"SonoBat","SM3BAT","SM3-U1","None",2.5,"meters",20140816,"Sonobat 3",NA,"eldorado","EL24B.W",9,0,1,0,0,0,0,0,1,0,0,0,0,0,45,0,0
"Zack","Steel",38.54,120.31,"SonoBat","SM3BAT","SM3-U1","None",2.5,"meters",20140820,"Sonobat 3",NA,"eldorado","EL24B.W",0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Zack","Steel",38.54,120.31,"SonoBat","SM3BAT","SM3-U1","None",2.5,"meters",20140814,"Sonobat 3",NA,"eldorado","EL24B.W",3,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0
"Zack","Steel",38.54,120.31,"SonoBat","SM3BAT","SM3-U1","None",2.5,"meters",20140824,"Sonobat 3",NA,"eldorado","EL24B.W",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"Zack","Steel",38.5,120.3,"SonoBat","SM3BAT","SM3-U1","None",2.3,"meters",20140814,"Sonobat 3",NA,"eldorado","PW09.7",7,0,6,0,0,0,0,0,4,1,0,0,32,0,0,0,0
"Zack","Steel",38.5,120.3,"SonoBat","SM3BAT","SM3-U1","None",2.3,"meters",20140818,"Sonobat 3",NA,"eldorado","PW09.7",2,2,2,0,0,0,0,0,15,3,0,0,15,0,0,0,0
"Zack","Steel",38.5,120.3,"SonoBat","SM3BAT","SM3-U1","None",2.3,"meters",20140822,"Sonobat 3",NA,"eldorado","PW09.7",0,0,1,0,0,0,0,0,6,0,0,0,11,0,0,0,0
"Zack","Steel",38.5,120.3,"SonoBat","SM3BAT","SM3-U1","None",2.3,"meters",20140820,"Sonobat 3",NA,"eldorado","PW09.7",0,0,4,0,0,0,0,0,0,3,0,0,12,0,0,0,0
"Zack","Steel",38.5,120.3,"SonoBat","SM3BAT","SM3-U1","None",2.3,"meters",20140816,"Sonobat 3",NA,"eldorado","PW09.7",5,3,16,0,0,0,0,0,5,0,0,0,36,0,0,0,0
"Zack","Steel",38.5,120.3,"SonoBat","SM3BAT","SM3-U1","None",2.3,"meters",20140824,"Sonobat 3",NA,"eldorado","PW09.7",0,3,0,0,0,0,0,0,9,4,0,0,16,0,0,0,0
"Zack","Steel",38.49,120.32,"SonoBat","SM3BAT","SM3-U1","None",2.8,"meters",20140814,"Sonobat 3",NA,"eldorado","PW12.3",0,5,18,0,1,0,0,0,2,0,1,0,3,0,0,0,0
"Zack","Steel",38.51212,120.20096,"SonoBat","SM3BAT","SM3-U1","None",3.1,"meters",20140830,"Sonobat 3",NA,"eldorado","PW13.2",3,0,3,0,0,0,0,0,1,0,0,0,38,0,0,0,0
"Zack","Steel",38.51212,120.20096,"SonoBat","SM3BAT","SM3-U1","None",3.1,"meters",20140903,"Sonobat 3",NA,"eldorado","PW13.2",4,0,8,0,0,0,0,0,2,0,0,0,121,0,0,0,1
"Zack","Steel",38.51212,120.20096,"SonoBat","SM3BAT","SM3-U1","None",3.1,"meters",20140828,"Sonobat 3",NA,"eldorado","PW13.2",1,0,1,0,0,0,0,0,0,0,0,0,40,0,0,0,0
"Zack","Steel",38.51212,120.20096,"SonoBat","SM3BAT","SM3-U1","None",3.1,"meters",20140907,"Sonobat 3",NA,"eldorado","PW13.2",22,0,14,0,0,0,0,0,0,1,0,0,15,0,0,0,0
