"first_name","last_name","y_coord","x_coord","det_mfg","det_model","mic_type","refl_type","mic_ht","mic_ht_units","night","call_id_1","call_id_2","site_ID","det_id","LANO","MYTH","MYEV","LABL","ANPA","MYCI","EUMA","MYLU","MYCA","LACI","EUPE","MYYU","TABR","MYVO","EPFU","COTO","PAHE"
"Zack","Steel",40.14,-121.07,"SonoBat","SM3BAT","SMM-U1","None",2.3,"meters","06/07/2016","Sonobat 3","None","plumas/lassen","213_2",17,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0
"Zack","Steel",40.14,-121.07,"SonoBat","SM3BAT","SMM-U1","None",2.3,"meters","06/11/2016","Sonobat 3","None","plumas/lassen","213_2",2,0,2,0,0,0,0,5,1,0,0,0,0,0,0,0,0
"Zack","Steel",40.14,-121.07,"SonoBat","SM3BAT","SMM-U1","None",2.3,"meters","06/13/2016","Sonobat 3","None","plumas/lassen","213_2",1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Zack","Steel",40.14,-121.07,"SonoBat","SM3BAT","SMM-U1","None",2.3,"meters","06/09/2016","Sonobat 3","None","plumas/lassen","213_2",3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"Zack","Steel",40.14,-121.07,"SonoBat","SM3BAT","SMM-U1","None",2.3,"meters","06/15/2016","Sonobat 3","None","plumas/lassen","213_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zack","Steel",40.14,-121.06,"SonoBat","SM3BAT","SMM-U1","None",2.5,"meters","07/12/2016","Sonobat 3","None","plumas/lassen","213_7",0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0
"Zack","Steel",40.14,-121.06,"SonoBat","SM3BAT","SMM-U1","None",2.5,"meters","06/18/2016","Sonobat 3","None","plumas/lassen","213_7",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zack","Steel",40.14,-121.06,"SonoBat","SM3BAT","SMM-U1","None",2.5,"meters","07/22/2016","Sonobat 3","None","plumas/lassen","213_7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zack","Steel",40.14,-121.06,"SonoBat","SM3BAT","SMM-U1","None",2.5,"meters","07/20/2016","Sonobat 3","None","plumas/lassen","213_7",0,0,1,0,0,0,0,5,41,0,0,0,2,0,11,0,0
"Zack","Steel",40.14,-121.06,"SonoBat","SM3BAT","SMM-U1","None",2.5,"meters","06/22/2016","Sonobat 3","None","plumas/lassen","213_7",2,0,3,1,0,0,0,11,16,0,0,0,3,0,0,0,0
"Zack","Steel",40.14,-121.06,"SonoBat","SM3BAT","SMM-U1","None",2.5,"meters","07/16/2016","Sonobat 3","None","plumas/lassen","213_7",0,0,0,0,0,0,0,3,11,0,0,0,0,0,8,0,0
"Zack","Steel",40.14,-121.06,"SonoBat","SM3BAT","SMM-U1","None",2.5,"meters","06/20/2016","Sonobat 3","None","plumas/lassen","213_7",4,0,1,0,2,0,0,36,9,0,0,0,6,0,1,0,0
"Zack","Steel",40.14,-121.06,"SonoBat","SM3BAT","SMM-U1","None",2.5,"meters","07/24/2016","Sonobat 3","None","plumas/lassen","213_7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zack","Steel",40.14,-121.06,"SonoBat","SM3BAT","SMM-U1","None",2.5,"meters","07/18/2016","Sonobat 3","None","plumas/lassen","213_7",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"Zack","Steel",40.14,-121.06,"SonoBat","SM3BAT","SMM-U1","None",2.5,"meters","07/14/2016","Sonobat 3","None","plumas/lassen","213_7",11,0,1,1,0,0,0,6,23,0,0,2,6,1,65,0,0
"Zack","Steel",40.08,-121.24,"SonoBat","SM3BAT","SMM-U1","None",2.7,"meters","09/04/2016","Sonobat 3","None","plumas/lassen","214_1",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Zack","Steel",40.08,-121.24,"SonoBat","SM3BAT","SMM-U1","None",2.7,"meters","09/02/2016","Sonobat 3","None","plumas/lassen","214_1",2,0,1,0,0,0,0,1,6,1,0,0,8,0,0,0,0
